source,target,value
Area 2/MIT,Back Bay,1.011635
Allston,Charlestown,1.012658
Area 2/MIT,Downtown,1.0157
Allston,MEDFORD_02155,1.030945
Mission Hill,Riverside,1.03429
Agassiz,North Cambridge,1.03506
North End,Roxbury,1.03631
North End,South End,1.03757
Allston,SOMERVILLE_02145,1.03941
Dorchester,SOMERVILLE_02143,1.039995
Area 2/MIT,EVERETT_02149,1.04758
EVERETT_02149,East Cambridge,1.047887
Cambridgeport,Fenway,1.06736
WATERTOWN_02472,West Cambridge,1.07276
Charlestown,East Cambridge,1.073535
Brighton,Dorchester,1.07472
Brighton,MEDFORD_02155,1.077755
SOMERVILLE_02145,South Boston Waterfront,1.0816
Cambridgeport,SOMERVILLE_02145,1.08185
East Cambridge,North End,1.083025
Allston,West End,1.08705
East Boston,SOMERVILLE_02143,1.08822
Agassiz,Neighborhood Nine,1.089575
Fenway,Wellington-Harrington,1.0897
Allston,South Boston,1.11223
Cambridgeport,South Boston Waterfront,1.1148
EVERETT_02149,South Boston Waterfront,1.117415
East Cambridge,South Boston Waterfront,1.118285
North Cambridge,Wellington-Harrington,1.12
East Cambridge,Riverside,1.12219
Back Bay,West End,1.12772
East Cambridge,South Boston,1.13182
Jamaica Plain,West Cambridge,1.132875
East Cambridge,Mission Hill,1.1337
Mid-Cambridge,West End,1.13666
Brighton,Wellington-Harrington,1.14329
Fenway,Riverside,1.14385
BROOKLINE_02445,North Cambridge,1.1493
Allston,Roxbury,1.15345
Jamaica Plain,WATERTOWN_02472,1.16105
Cambridgeport,South End,1.16226
Downtown,Fenway,1.17915
Allston,Mission Hill,1.18167
Downtown,Riverside,1.1879
Riverside,West End,1.18962
Allston,Cambridgeport,1.195
East Boston,Mission Hill,1.19859
Charlestown,North Cambridge,1.199745
Area 2/MIT,Cambridgeport,1.20223
East Boston,South Boston,1.21222
Brighton,SOMERVILLE_02144,1.221055
Chinatown,Longwood Medical Area,1.23426
Charlestown,South Boston Waterfront,1.235835
East Boston,South Boston Waterfront,1.2395
Agassiz,West Cambridge,1.24085
