OBJECTID,POSTCODE,PC_NAME,city,label,lat,lng
1791,2143,SOMERVILLE,MA,SOMERVILLE_02143,42.38831558,-71.11163532
1792,2143,SOMERVILLE,MA,SOMERVILLE_02143,42.37859246,-71.0766643
1793,2144,SOMERVILLE,MA,SOMERVILLE_02144,42.38825177,-71.1153151
1794,2143,SOMERVILLE,MA,SOMERVILLE_02143,42.3842586,-71.11216713
1795,2143,SOMERVILLE,MA,SOMERVILLE_02143,42.37942281,-71.08345091
1796,2143,SOMERVILLE,MA,SOMERVILLE_02143,42.38038275,-71.10412224
1797,2145,SOMERVILLE,MA,SOMERVILLE_02145,42.3897415,-71.10107507
1798,2143,SOMERVILLE,MA,SOMERVILLE_02143,42.3827554,-71.09573951
1799,2143,SOMERVILLE,MA,SOMERVILLE_02143,42.38833132,-71.10116963
1800,2143,SOMERVILLE,MA,SOMERVILLE_02143,42.37965774,-71.08445899
1801,2143,SOMERVILLE,MA,SOMERVILLE_02143,42.3858174,-71.10192734
1802,2143,SOMERVILLE,MA,SOMERVILLE_02143,42.37817551,-71.08618464
1803,2143,SOMERVILLE,MA,SOMERVILLE_02143,42.3754491,-71.08631774
1804,2143,SOMERVILLE,MA,SOMERVILLE_02143,42.3778715,-71.07836466
1805,2143,SOMERVILLE,MA,SOMERVILLE_02143,42.38980092,-71.112219
1806,2143,SOMERVILLE,MA,SOMERVILLE_02143,42.38651055,-71.11096578
1807,2143,SOMERVILLE,MA,SOMERVILLE_02143,42.38632572,-71.10865252
1808,2143,SOMERVILLE,MA,SOMERVILLE_02143,42.37863325,-71.10648718
1809,2143,SOMERVILLE,MA,SOMERVILLE_02143,42.3846638,-71.0970627
1810,2144,SOMERVILLE,MA,SOMERVILLE_02144,42.39231451,-71.11188295
1811,2143,SOMERVILLE,MA,SOMERVILLE_02143,42.38832664,-71.11091704
1812,2143,SOMERVILLE,MA,SOMERVILLE_02143,42.39028739,-71.11081235
