,source,target,value
429,boston_BROOKLINE_02445,newyork_UpperWestSide,0.7332
430,boston_BROOKLINE_02445,newyork_WestVillage,0
431,boston_BROOKLINE_02445,newyork_Williamsburg,0
432,boston_BROOKLINE_02445,newyork_Woodside,0
433,boston_BROOKLINE_02445,newyork_Yorkville,0.05454
434,boston_BROOKLINE_02445,sanfrancisco_Bayview,0
435,boston_BROOKLINE_02445,sanfrancisco_BernalHeights,0
436,boston_BROOKLINE_02445,sanfrancisco_CastroUpperMarket,0.13178
437,boston_BROOKLINE_02445,sanfrancisco_Chinatown,0
438,boston_BROOKLINE_02445,sanfrancisco_DiamondHeights,0.370315
439,boston_BROOKLINE_02445,sanfrancisco_Downtown,0
440,boston_BROOKLINE_02445,sanfrancisco_Excelsior,0
441,boston_BROOKLINE_02445,sanfrancisco_FinancialDistrict,0
442,boston_BROOKLINE_02445,sanfrancisco_GlenPark,0.5955
443,boston_BROOKLINE_02445,sanfrancisco_HaightAshbury,0.0475645
444,boston_BROOKLINE_02445,sanfrancisco_InnerRichmond,0
445,boston_BROOKLINE_02445,sanfrancisco_InnerSunset,0.293555
446,boston_BROOKLINE_02445,sanfrancisco_Lakeshore,0.26155
447,boston_BROOKLINE_02445,sanfrancisco_Marina,0
448,boston_BROOKLINE_02445,sanfrancisco_Mission,0.135805
449,boston_BROOKLINE_02445,sanfrancisco_NobHill,0
450,boston_BROOKLINE_02445,sanfrancisco_NoeValley,0.13689
451,boston_BROOKLINE_02445,sanfrancisco_NorthBeach,0
452,boston_BROOKLINE_02445,sanfrancisco_OceanView,0
453,boston_BROOKLINE_02445,sanfrancisco_OuterMission,0
454,boston_BROOKLINE_02445,sanfrancisco_OuterRichmond,0
455,boston_BROOKLINE_02445,sanfrancisco_OuterSunset,0
456,boston_BROOKLINE_02445,sanfrancisco_PacificHeights,0
457,boston_BROOKLINE_02445,sanfrancisco_Parkside,0
458,boston_BROOKLINE_02445,sanfrancisco_PotreroHill,0.306065
459,boston_BROOKLINE_02445,sanfrancisco_PresidioHeights,0.07572855
460,boston_BROOKLINE_02445,sanfrancisco_RussianHill,0
461,boston_BROOKLINE_02445,sanfrancisco_Seacliff,0
462,boston_BROOKLINE_02445,sanfrancisco_SouthOfMarket,0
463,boston_BROOKLINE_02445,sanfrancisco_TwinPeaks,0
464,boston_BROOKLINE_02445,sanfrancisco_WestOfTwinPeaks,0.10538
465,boston_BROOKLINE_02445,sanfrancisco_WesternAddition,0
466,boston_BROOKLINE_02446,boston_BackBay,0.677215
