lat,lng,_r,_g,_b
41.841604,-87.65656431,0.111586758,0.166524095,0.221821632
41.841604,-87.65857882,0.112044818,0.101190476,0.468993021
41.841604,-87.66059334,0.196969697,0.067901235,0.317647059
41.841604,-87.66260786,0.091586084,0.22622011,0.852266152
41.841604,-87.66462237,0.123170732,0.458442042,0.389687727
41.841604,-87.66663689,0.416666667,0.034696406,0.287700535
41.841604,-87.6686514,0.26300578,0.0466433,0.363627451
41.841604,-87.6807385,0.26344086,0.011987626,0.633823529
41.841604,-87.68275301,0.469086022,0.094404263,0.403998462
41.841604,-87.68476753,0.122222222,0.46875,0.250980392
41.841604,-87.69081108,,,
41.841604,-87.69282559,,,
41.841604,-87.69484011,0.096949891,0.240818468,0.427114846
41.841604,-87.70088365,0.458333333,0.033898305,0.462745098
41.843104,-87.61023045,0.093333333,0.059808612,0.546405229
41.843104,-87.61425948,0.091440723,0.274819198,0.832284542
41.843104,-87.616274,0.151041667,0.139433551,0.45
41.843104,-87.61828851,0.229166667,0.083333333,0.376470588
41.843104,-87.62030303,0.02688172,0.322077922,0.301960784
41.843104,-87.62433206,0.289855072,0.017798414,0.61426025
41.843104,-87.62634657,0.097605893,0.521613833,0.240138408
41.843104,-87.62836109,0.067791005,0.218655098,0.231774761
41.843104,-87.63037561,0.047372061,0.45258216,0.174019608
41.843104,-87.63239012,0.145553423,0.111982805,0.311882018
41.843104,-87.63440464,0.083850932,0.13132137,0.228944911
41.843104,-87.63641915,0.12219275,0.116689365,0.633490196
41.843104,-87.63843367,0.151394422,0.060878001,0.425490196
41.843104,-87.64044818,0.079330422,0.185575365,0.569319493
41.843104,-87.6424627,0.079765825,0.314571823,0.31546841
41.843104,-87.64447722,0.51572327,0.058114035,0.210380623
41.843104,-87.64649173,0.06051261,0.334940091,0.749329205
41.843104,-87.64850625,,,
41.843104,-87.65253528,0.09767316,0.18729097,0.429934641
41.843104,-87.65454979,0.154894672,0.107513989,0.297326203
41.843104,-87.65656431,0.232323232,0.008128079,0.860625331
41.843104,-87.65857882,0.074494026,0.367571928,0.317050298
41.843104,-87.66059334,0.034439686,0.292927709,0.260498366
41.843104,-87.66260786,0.110576923,0.278074866,0.293333333
41.843104,-87.66462237,0.111553785,0.08658158,0.49428815
41.843104,-87.6807385,0.497076023,0.011767135,0.678431373
41.843104,-87.68275301,0.111742424,0.050867052,0.589940324
41.843104,-87.68476753,0.541032149,0.101546392,0.475490196
41.843104,-87.69081108,,,
41.843104,-87.69282559,,,
41.843104,-87.69484011,0.0625,0.254545455,0.431372549
41.843104,-87.70088365,0.038140312,0.393989251,0.36114082
41.843104,-87.70289817,0.118357488,0.146186441,0.26442577
41.844604,-87.61023045,,,
41.844604,-87.61425948,0.157657658,0.128027682,0.377777778
41.844604,-87.61828851,0.324242424,0.010603432,0.84754902
41.844604,-87.62030303,0.408602151,0.01889092,0.459663866
41.844604,-87.62634657,0.361111111,0.028571429,0.823529412
41.844604,-87.62836109,0.138020833,0.042049934,0.852661064
41.844604,-87.63037561,0.0598074,0.421671297,0.573406863
41.844604,-87.63239012,0.316176471,0.009057006,0.774819401
41.844604,-87.63440464,0.06625472,0.207789429,0.254520697
41.844604,-87.63641915,0.123451577,0.095276414,0.35059952
41.844604,-87.63843367,0.081959707,0.344208038,0.345588235
41.844604,-87.64044818,0.063131313,0.152424942,0.849019608
41.844604,-87.6424627,0.105174731,0.193447738,0.335163399
41.844604,-87.64447722,0.045422411,0.395719681,0.222502334
41.844604,-87.64649173,0.31372549,0.057354926,0.290588235
41.844604,-87.64850625,0.06558401,0.28351337,0.417832038
41.844604,-87.65052076,0.040129556,0.522098022,0.256223838
41.844604,-87.65253528,0.18875502,0.086099585,0.290799397
41.844604,-87.65454979,0.117833052,0.160043182,0.412209707
41.844604,-87.65656431,0.132034632,0.155975692,0.252514919
41.844604,-87.65857882,0.084113608,0.236492471,0.300166168
41.844604,-87.66059334,0.088709677,0.203278689,0.299019608
41.844604,-87.66260786,0.102272727,0.047109208,0.73254902
41.844604,-87.66462237,0.098804501,0.200592467,0.463333333
41.844604,-87.6686514,0.110457516,0.244252874,0.454901961
41.844604,-87.6807385,0.115757576,0.104901774,0.489542484
41.844604,-87.68476753,0.05,0.129533679,0.151372549
41.844604,-87.68678204,0.189054726,0.04970941,0.422849673
41.844604,-87.68879656,0.128507295,0.12955289,0.382561535
41.844604,-87.69081108,,,
41.844604,-87.69282559,0.111578947,0.203165098,0.32745098
41.844604,-87.69484011,0.066666667,0.243605359,0.321960784
41.844604,-87.69685462,0.400252525,0.05134189,0.336078431
41.844604,-87.69886914,0.094382853,0.297611192,0.56063633
41.844604,-87.70088365,0.082638889,0.13136289,0.358235294
41.844604,-87.70289817,0.124213836,0.033221897,0.85311943
