id,lat,lng,tree,sky,entropy_mean,_r,_g,_b,color,neighborhood
197,41.834104,-87.616274,67138.75,37596.75,,,,,,Douglas
198,41.834104,-87.61828851,71730.5,11005.5,6.063150263,0.142036125,0.024972321,0.937600923,#efeee9,Douglas
199,41.834104,-87.62030303,42702.75,42523.25,5.593098625,0.087452471,0.225364182,0.435854342,#6f6356,Douglas
200,41.834104,-87.62231754,33682.75,34789.5,5.676455034,0.051515152,0.473766641,0.238468721,#3c2820,Douglas
201,41.834104,-87.62634657,102329.75,24648,,,,,,Douglas
202,41.834104,-87.63037561,13137.25,63824.75,6.244604713,0.488888889,0.137362637,0.71372549,#9db6b4,Douglas
203,41.834104,-87.63239012,67072.75,41501.25,,,,,,Bridgeport
204,41.834104,-87.63641915,32975,1032.333333,4.887279106,0.035337553,0.055264078,0.113250149,#1c1b1b,Bridgeport
205,41.834104,-87.63843367,65404,31159.25,6.104181026,0.0625,0.249609984,0.251372549,#403630,Bridgeport
206,41.834104,-87.64044818,65420,25481,6.277481679,0.04954955,0.406035665,0.238235294,#3c2b24,Bridgeport
207,41.834104,-87.6424627,64063,10458.25,5.950921682,0.062018702,0.541071429,0.274509804,#452e20,Bridgeport
208,41.834104,-87.64447722,69308,28624.5,5.941189285,0.12745098,0.071983063,0.370457516,#5e5c57,Bridgeport
209,41.834104,-87.64649173,29927,36900.75,5.976134791,0.056756757,0.159003008,0.202788671,#332e2b,Bridgeport
210,41.834104,-87.64850625,63852.25,16663.25,5.629939398,0.120155039,0.087221095,0.241666667,#3d3c38,Bridgeport
211,41.834104,-87.65052076,48563,18796.75,6.122540122,0.090835361,0.265332473,0.253104575,#40382f,Bridgeport
212,41.834104,-87.65253528,65067,17908.75,6.167146091,0.056447298,0.257650951,0.364705882,#5d4d45,Bridgeport
213,41.834104,-87.65454979,38126.5,30676.75,5.793539863,0.048051948,0.254377271,0.320826709,#51423d,Bridgeport
214,41.834104,-87.65656431,63829.25,27314.75,5.96490205,0.120915033,0.077039275,0.23600713,#3c3a37,Bridgeport
215,41.834104,-87.65857882,64293.75,47135,5.991770507,0.078351449,0.396979504,0.259663866,#423427,Bridgeport
216,41.834104,-87.66059334,38210.75,62503.25,5.795113566,0.216666667,0.031055901,0.315686275,#4f504d,Bridgeport
217,41.834104,-87.66462237,30687.25,48333.75,5.756365321,0.025877193,0.417429513,0.305994398,#4e322d,Bridgeport
218,41.834104,-87.66663689,38173,42270.75,5.926604852,0.142473118,0.094728801,0.342222222,#57564f,Lower West Side
219,41.834104,-87.6686514,50169.25,28917.25,5.755828518,0.087104072,0.123394752,0.468235294,#777068,Lower West Side
220,41.834104,-87.67066592,57646.5,22477.5,5.577759604,0.504464286,0.010777521,0.768923418,#c1c4c4,Lower West Side
221,41.834104,-87.67268043,43765.25,53038.5,5.603879299,0.042067859,0.375516529,0.361531279,#5c4239,Lower West Side
222,41.834104,-87.67469495,86154.5,23706.25,6.011347378,0.560606061,0.039568345,0.726797386,#b2b6b9,Lower West Side
223,41.834104,-87.67670947,46590.5,53890.25,5.665909624,0.041390728,0.322994652,0.244444444,#3e2f2a,Lower West Side
224,41.834104,-87.67872398,71907.75,18342.25,5.381742899,0.56712963,0.021028037,0.383641457,#5f6161,Lower West Side
225,41.834104,-87.6807385,34845,48012.25,5.20239718,0.106519743,0.270391061,0.300840336,#4c4537,Lower West Side
226,41.834104,-87.68275301,77255.75,21317.75,6.097587027,0.113978495,0.161795407,0.341532977,#575248,Lower West Side
227,41.834104,-87.68476753,14987,47848,5.538321888,0.122529644,0.180360007,0.564203117,#8f8975,Lower West Side
228,41.834104,-87.68678204,35520.25,65200,5.789416725,0.083333333,0.265432099,0.211764706,#362e27,Lower West Side
229,41.834104,-87.68879656,6333,77045.25,5.583517964,0.277777778,0.010135135,0.773856209,#c3c5c3,Lower West Side
230,41.834104,-87.69081108,8168.75,76634,5.608768472,0.106837607,0.1050404,0.679477124,#ada69b,Lower West Side
231,41.835604,-87.60620142,77405.75,43588.75,,,,,,Douglas
232,41.835604,-87.60821593,42851,63569.75,5.50136948,0.166666667,0.002469136,0.794117647,#cacaca,Douglas
233,41.835604,-87.61224496,81329.75,25612.5,6.322341287,0.604166667,0.109756098,0.42875817,#61656d,Douglas
234,41.835604,-87.61828851,76346.25,7030.75,5.796177519,0.038307604,0.477868852,0.281430219,#472d25,Douglas
235,41.835604,-87.62030303,71437.25,18541.75,5.665387628,0.022522523,0.082405345,0.220098039,#383433,Douglas
236,41.835604,-87.62231754,48425.5,37296.5,5.361093297,0.095800525,0.237383178,0.209803922,#353028,Douglas
237,41.835604,-87.62634657,90978,25423.5,6.432411067,0.104166667,0.067226891,0.466666667,#77746f,Douglas
238,41.835604,-87.62836109,54422.75,46486.5,6.002775073,0.147058824,0.122302158,0.545098039,#8b897a,Douglas
